id,jenis_kelamin,senam_ritmik,renang,atletik,cluster,kategori_potensi,pca1,pca2
10811,L,85,88,92,0,Potensi Tinggi,1.1536811603938648,0.47194934900330504
10849,L,85,87,88,0,Potensi Tinggi,0.7993711451558116,0.3192934254943357
10595,P,85,85,88,0,Potensi Tinggi,0.6121959726535661,-0.051777030738104274
10597,P,85,86,92,0,Potensi Tinggi,0.9665059878916191,0.10087889277086515
10598,L,80,96,84,1,Potensi Sedang,0.20545805932569206,3.0344696139621554
10599,P,80,75,78,2,Potensi Rendah,-2.1509648954282814,-0.8124512195675881
10600,P,85,87,90,0,Potensi Tinggi,0.9297323596492767,0.30285377319071044
10710,P,85,80,90,0,Potensi Tinggi,0.2746192558914173,-0.9958928236228295
10678,P,80,84,86,1,Potensi Sedang,-0.787231761194316,0.7916072242638904
10601,P,85,75,92,2,Potensi Rendah,-0.06295746087073129,-1.9400086165075545
10602,L,85,88,80,0,Potensi Tinggi,0.3715138734330737,0.5705872628250568
10604,P,85,81,90,0,Potensi Tinggi,0.36820684214254007,-0.8103575955066095
10783,P,85,75,78,2,Potensi Rendah,-0.9754859623249875,-1.8249310503821776
10605,L,85,86,90,0,Potensi Tinggi,0.836144773398154,0.11731854507449044
10606,L,85,85,90,0,Potensi Tinggi,0.7425571871470311,-0.06821668304172955
10643,L,85,87,86,0,Potensi Tinggi,0.6690099306623464,0.33573307779796097
10607,L,75,87,66,1,Potensi Sedang,-2.9855600804788933,2.5250892624633923
10856,P,85,87,86,0,Potensi Tinggi,0.6690099306623464,0.33573307779796097
10753,P,85,86,62,1,Potensi Sedang,-0.9889122295103583,0.3474736773252444
10685,P,85,90,82,0,Potensi Tinggi,0.6890502604287844,0.9252180667538716
10686,P,85,84,86,0,Potensi Tinggi,0.3882471719089781,-0.22087260655069899
10723,L,85,89,76,1,Potensi Sedang,0.20437903069726618,0.7890017955485275
10612,L,80,75,90,2,Potensi Rendah,-1.3687976084674904,-0.9110891333893398
10614,L,85,80,90,0,Potensi Tinggi,0.2746192558914173,-0.9958928236228295
10728,L,85,90,86,0,Potensi Tinggi,0.9497726894157147,0.892338762146621
10766,P,85,85,90,0,Potensi Tinggi,0.7425571871470311,-0.06821668304172955
10801,P,85,84,66,1,Potensi Sedang,-0.9153649730256735,-0.05647608351444612
10623,P,90,87,92,0,Potensi Tinggi,2.235572507246036,-0.7260657099275042
10624,L,90,87,94,0,Potensi Tinggi,2.365933721739501,-0.7425053622311295
